name;description;lat;lon;target_age_group
Cybermachina;Pub dla graczy z konsolami, planszówkami i klimatycznymi drinkami.;53.12245;18.00167;18-25
Escape Room Wyjście Awaryjne;Pokoje zagadek wymagające sprytu i współpracy. Adrenalina gwarantowana.;53.12212;18.00423;18-25
Klub Metro;Kultowe miejsce na mapie Bydgoszczy, imprezy rockowe i alternatywne.;53.12665;18.00634;18-25
Kręgielnia w Focus Mall;Centrum rozrywki z torami do kręgli i automatami do gier.;53.12056;18.01345;18-25
Park 17 Centrum Zabaw;Park trampolin i tor przeszkód. Świetne miejsce na wyładowanie energii.;53.13245;17.98912;18-25
Laser Fight Club;Laserowy paintball w ciemnościach. Rywalizacja drużynowa.;53.12567;18.00234;18-25
Pub Kubryk;Klimatyczny pub z muzyką szantową i imprezami do białego rana.;53.12134;17.99876;18-25
VR Studio Bydgoszcz;Salon wirtualnej rzeczywistości. Zanurz się w innym świecie.;53.12890;18.00567;18-25
Kino Cinema City;Multipleks kinowy oferujący najnowsze hity filmowe i pokazy 4DX.;53.12089;18.01378;18-25
Point Club;Nowoczesny klub muzyczny z parkietem i DJ-ami. Centrum nocnego życia.;53.12178;18.00123;18-25
Muzeum Mydła i Historii Brudu;Unikalne na skalę światową muzeum, gdzie zrobisz własne mydło.;53.12189;17.99865;25-50
Opera Nova;Imponujący gmach nad rzeką. Spektakle operowe, baletowe i musicale.;53.12345;18.00345;25-50
Centrum Wspinaczkowe Spider;Ścianki wspinaczkowe dla początkujących i zaawansowanych.;53.12987;17.99123;25-50
Miejskie Centrum Kultury;Koncerty, wystawy, kino studyjne Orzeł i warsztaty artystyczne.;53.12456;18.00789;25-50
Muzeum Leona Wyczółkowskiego;Zbiory sztuki w zabytkowych spichrzach nad Brdą.;53.12234;18.00234;25-50
Basen Astoria;Nowoczesny kompleks pływacki z basenem olimpijskim i strefą wellness.;53.12623;17.99756;25-50
Teatr Polski;Dramaty, komedie i spektakle współczesne w zabytkowym budynku.;53.12589;18.00756;25-50
Wake Park Bydgoszcz;Wyciąg do nart wodnych i wakeboardingu w Myślęcinku (dojazd tramwajem).;53.15123;18.02345;25-50
Wieża Ciśnień Muzeum Wodociągów;Taras widokowy z panoramą miasta i ekspozycja historyczna.;53.12012;17.99234;25-50
Barka Lemara;Żywe muzeum tradycji wodniackich zacumowane na rzece Brdzie.;53.12256;18.00456;25-50
Filharmonia Pomorska;Sala koncertowa o jednej z najlepszych akustyk w Europie.;53.12756;18.00945;50+
Ogród Botaniczny UKW;Spokojne miejsce na spacer wśród unikalnych gatunków roślin.;53.13156;18.01678;50+
Muzeum Wojsk Lądowych;Bogata kolekcja sprzętu wojskowego i historii militariów.;53.13023;18.01456;50+
Park im. Jana Kochanowskiego;Zabytkowy park z fontanną Szwalbego i rzeźbami kompozytorów.;53.12678;18.00890;50+
Kujawsko-Pomorskie Centrum Kultury;Spotkania autorskie, wystawy i kameralne koncerty.;53.12145;17.99989;50+