name;description;type;lat;lon;discount_description
Warzelnia Piwa Bydgoszcz;Restauracja i browar na Wyspie Młyńskiej z widokiem na rzekę, działająca w zabytkowym budynku.;RESTAURACJA;53.12188;17.99452;-20% na hasło BYDGOSZCZ przy zamówieniu dwóch dań
Naleśnikarnia Manekin;Kultowa naleśnikarnia oferująca dziesiątki rodzajów naleśników wytrawnych i słodkich. Kolejki gwarantowane!;RESTAURACJA;53.12456;18.00289;Darmowa lemoniada do każdego rachunku powyżej 50 zł
Restauracja Luizjana;Klimatyczne miejsce serwujące kuchnię kreolską i cajun. Poczuj smak Nowego Orleanu.;RESTAURACJA;53.12123;17.99987;-15% na desery w godzinach 12:00-16:00
Czosnek i Oliwa;Mała, przytulna restauracja z kuchnią śródziemnomorską i świetnymi owocami morza.;RESTAURACJA;53.12098;17.99654;Kieliszek wina gratis do kolacji dla dwojga
Restauracja Sowa;Elegancka restauracja przy moście, znana z doskonałych wyrobów cukierniczych i kuchni autorskiej.;RESTAURACJA;53.12245;18.00123;-10% na całe zamówienie z aplikacją
Karramba Restauracja;Specjaliści od steków i dobrego wina. Lokal z charakterem blisko Starego Rynku.;RESTAURACJA;53.12167;18.00012;Deser dnia za 1 zł przy zamówieniu steka
Pierogarnia Stary Młyn;Tradycyjne pierogi pieczone i gotowane w rustykalnym wnętrzu. Smaki jak u babci.;RESTAURACJA;53.12145;17.99567;-20% na hasło BYDGOSZCZ w poniedziałki
Burger Park;Soczyste burgery w bułce własnego wypieku. Miejsce idealne na szybki i syty lunch.;BISTRO;53.12512;18.00456;Frytki gratis do każdego burgera XXL
Bromberg Kaffee;Kameralna palarnia kawy i kawiarnia. Poczuj aromat świeżo palonych ziaren w sercu miasta.;KAWIARNIA;53.12378;18.00234;Druga kawa -50%
Lodziarnia Tradycyjna Kroczek;Lody rzemieślnicze produkowane według rodzinnej receptury od 1978 roku.;LODZIARNIA;53.12189;18.00345;Darmowa posypka do każdej porcji lodów
Restauracja Memo;Nowoczesna kuchnia europejska w eleganckim wydaniu. Idealna na biznesowy lunch.;RESTAURACJA;53.12211;18.00178;-10% na hasło STUDENT
Kawiarnia Parzona;Przytulne miejsce z ogromnym wyborem herbat i domowych ciast.;KAWIARNIA;53.12134;17.99890;Ciastko gratis do dużego dzbanka herbaty
Restauracja Kuchnia;Lokal stawiający na sezonowe produkty i proste, ale wyraziste smaki.;RESTAURACJA;53.12256;18.00045;-15% na dania wegetariańskie
Katarynka;Kawiarnia i bistro na samym Starym Rynku z widokiem na Ratusz. Pyszne śniadania.;KAWIARNIA;53.12199;18.00211;Kawa za 5 zł do każdego śniadania
Restauracja Meluzyna;Restauracja z długoletnią tradycją serwująca klasyki kuchni polskiej.;RESTAURACJA;53.12678;18.00567;-20% na hasło BYDGOSZCZ przy rezerwacji
King Fu Fusion;Azjatycka kuchnia fusion w nowoczesnym wydaniu. Sushi, pad thai i ramen.;RESTAURACJA;53.12289;18.00156;Zestaw sushi 2w1 w godzinach happy hour
Restauracja Apteka;Unikalny lokal w dawnej aptece, serwujący innowacyjne koktajle i dania.;RESTAURACJA;53.12112;17.99789;Autorski drink powitalny gratis
Kawiarnia Landschaft;Hipsterska kawiarnia w starej kamienicy z klimatem vintage i dobrą kawą przelewową.;KAWIARNIA;53.12543;18.00612;-10% jeśli przyjdziesz z własnym kubkiem
Restauracja Ogniem i Mieczem;Wystrój nawiązujący do Trylogii Sienkiewicza. Kuchnia staropolska i myśliwska.;RESTAURACJA;53.12789;18.01234;Miód pitny na koszt firmy do dań głównych
Bierhalle;Restauracja w stylu bawarskim z własnym piwem i golonką.;RESTAURACJA;53.12345;18.00321;Drugie piwo gratis w czwartki
Restauracja 1921;Elegancja lat 20. w zabytkowym Hotelu Pod Orłem. Wykwintna kuchnia.;RESTAURACJA;53.12412;18.00267;-15% na kolację przy świecach
Scena Bistro;Miejsce spotkań artystów i fanów teatru. Luźna atmosfera i smaczne przekąski.;BISTRO;53.12389;18.00412;Zniżka -10% z biletem do teatru
Tentego;Cafe-pub z planszówkami i świetną atmosferą na wieczorne wyjście.;KAWIARNIA;53.12101;17.99912;Trzeci shot gratis
Kraftodajnia;Raj dla fanów piwa rzemieślniczego i dobrego jedzenia typu pub food.;BISTRO;53.12156;18.00089;Zniżka -20% na burgera miesiąca
Pizza Monteverdi;Jedna z najstarszych pizzerii w mieście, niezmienny smak od lat.;RESTAURACJA;53.12321;18.00198;Napój 0,5l gratis do dużej pizzy